-475, 20, 50
-685, 23, -45
-762, 61, 151
-822, 42, -52
-865, 129, -125
-865, 129, -125
-916, 147, -39
-901, 92, 5
-1048, 121, 274
-1285, 182, 624
-1264, 123, 471
-1269, 125, 596
-1413, 116, 648
-1577, 141, 777
-1609, 162, 807
-1664, 208, 767
-1664, 208, 767
-1640, 245, 819
-1607, 244, 745
-1608, 266, 856
-1520, 257, 665
-1296, 211, 656
-1296, 174, 637
-1413, 177, 572
-,-,-
-1016, 44, 56
-740, -48, -221
-812, -1, 368
-733, -3, 428
-733, -3, 428
-629, -33, 388
-454, -84, 340
-296, -108, 344
-311, -182, 165
-339, -202, 105
-445, -138, -12
-657, -23, 128
-856, 16, 235
-856, 16, 235
-891, -12, 205
-890, 0, 87
-969, 46, 27
-1154, 162, 332
-1409, 247, 576
-1409, 247, 576
-1421, 197, 481
-1400, 168, 356
-1566, 232, 599
-1723, 211, 698
-1684, 128, 649
-1672, 39, 651
-1739, 44, 764
-1823, 86, 752
-1809, 150, 791
-1781, 102, 696
-,-,-
-493, 59, -24
-493, 59, -24
-381, -105, 147
-514, 16, 833
-704, 57, 12
-853, 156, -253
-857, 146, 27
-845, 59, 393
-845, 59, 393
-1051, -12, 350
-1118, -24, 347
-1189, -1, 345
-1194, -72, 327
-1067, -149, 244
-1198, -58, 279
-1451, 163, 394
-1424, 176, 339
-1448, 119, 474
-1494, 70, 581
-1494, 70, 581
-1516, 76, 561
-1498, 74, 454
-1574, 118, 534
-1668, 159, 658
-1692, 165, 590
-1496, 74, 518
-1501, 41, 681
-,-,-
-550, 124, 27
-456, -34, 139
-456, -34, 139
-463, -141, 383
-606, -12, 329
-609, 25, 223
-493, -86, 171
-471, -134, 346
-521, -82, 184
-566, -44, 65
-566, -44, 65
-744, 29, 118
-851, 16, 196
-961, 3, 229
-981, -21, 142
-1137, 53, 249
-1137, 53, 249
-1202, 35, 239
-1443, 25, 455
-1583, 116, 630
-1624, 145, 499
-1666, 198, 536
-1750, 106, 679
-1670, 33, 673
-1739, 92, 678
-1847, 165, 672
-1826, 163, 797
-1826, 163, 797
-1570, 64, 617
-,-,-
-636, -59, -44
-751, 32, 237
-617, -47, 501
-611, -176, 310
-544, -90, 316
-462, -55, 433
-462, -55, 433
-434, -135, -23
-443, -116, 187
-506, -32, 325
-483, -89, 91
-465, -171, 68
-554, -168, 4
-688, -117, 188
-900, -51, 53
-900, -51, 53
-1001, 40, 96
-1230, 134, 323
-1336, 37, 579
-1449, 19, 592
-1580, 90, 571
-1661, 135, 675
-1753, 73, 619
-1753, 73, 619
-1732, 32, 544
-1612, -50, 505
-1604, -20, 473
