-226, -238, 416
-172, -454, 270
-130, -689, 312
-149, -849, 405
-206, -765, 343
-305, -660, 367
-510, -394, 466
-711, -195, 629
-711, -195, 629
-764, -72, 771
-735, -35, 1021
-714, 213, 1131
-673, 681, 1180
-598, 1284, 1089
-478, 1779, 994
-434, 1995, 873
-330, 1789, 782
-207, 1112, 595
-201, 470, 528
-378, -182, 729
-617, -647, 1291
-796, -1079, 1955
-1033, -1112, 1998
-1131, -1137, 1917
-1134, -847, 1380
-1098, -593, 1073
-1027, -401, 991
-,-,-
-663, 202, 152
-585, 155, 345
-590, 222, 182
-546, 73, 95
-546, 73, 95
-554, 31, 319
-555, -42, 682
-550, -93, 684
-530, -177, 411
-507, -317, 362
-484, -594, 302
-432, -961, 292
-432, -961, 292
-338, -1243, 235
-250, -1348, 126
-183, -1275, 302
-199, -791, 569
-283, 70, 634
-389, 771, 930
-424, 1395, 1183
-475, 1946, 1236
-508, 1997, 1205
-495, 1997, 1055
-447, 1974, 951
-432, 1406, 872
-482, 619, 685
-538, -483, 1064
-767, -1316, 1644
-974, -1784, 1947
-1134, -1804, 1888
-1195, -1635, 1629
-1137, -1285, 1177
-,-,-
-540, 44, 366
-478, -26, 247
-476, -55, 245
-423, -127, 139
-379, -314, 239
-321, -475, 424
-264, -704, 294
-256, -897, -18
-219, -1155, -11
-155, -1340, 169
-141, -1057, 331
-212, -263, 519
-319, 653, 997
-319, 653, 997
-419, 1377, 1409
-478, 1940, 1433
-522, 1997, 1401
-539, 1997, 1251
-457, 1727, 1203
-388, 1121, 1096
-400, 226, 999
-513, -699, 991
-698, -1186, 1093
-912, -1489, 1548
-1078, -1487, 1788
-,-,-
-418, -152, -182
-295, -427, 175
-240, -473, 624
-302, -440, 851
-445, -277, 740
-634, 84, 782
-634, 84, 782
-769, 400, 789
-784, 382, 578
-697, 43, 505
-572, -492, 345
-405, -1190, 199
-249, -1707, 263
-192, -1658, 576
-244, -860, 634
-373, 458, 828
-522, 1696, 1285
-666, 1997, 1296
-653, 1997, 1045
-463, 1997, 771
-463, 1997, 771
-274, 1684, 564
-152, 900, 380
-233, -14, 619
-411, -856, 1281
-703, -1273, 1746
-941, -1626, 1998
-1126, -1572, 1998
-1205, -1226, 1857
-,-,-
-652, 65, 274
-638, -86, 436
-612, -106, 613
-558, -204, 546
-513, -260, 336
-469, -272, 351
-469, -272, 351
-388, -267, 306
-377, -236, 183
-358, -234, 86
-344, -342, 22
-294, -661, 93
-284, -951, 7
-236, -1325, 33
-238, -1406, 347
-331, -793, 631
-452, 154, 1100
-535, 1317, 1510
-605, 1994, 1825
-599, 1997, 1759
-441, 1997, 1311
-248, 1919, 856
-248, 1919, 856
-195, 1231, 655
-345, 300, 506
-490, -635, 601
-706, -1291, 1389
-953, -1578, 1975
-1064, -1788, 1998
-1114, -1605, 1816
-1063, -1309, 1382
-,-,-
-624, 229, -116
-524, 135, 291
-495, -24, 710
-497, -99, 671
-460, -198, 530
-455, -166, 516
-431, -72, 380
-393, -57, 259
-326, -123, 184
-319, -190, 145
-298, -392, 54
-298, -392, 54
-216, -766, -61
-190, -1149, -95
-236, -1408, 66
-304, -1333, 393
-338, -739, 838
-523, 392, 1409
-648, 1338, 1910
-594, 1944, 1841
-549, 1997, 1667
-492, 1997, 1380
-296, 1973, 1000
-127, 1311, 725
-220, 424, 607
-495, -590, 867
-727, -1638, 1412
-917, -1998, 1931
-1078, -1998, 1978
-1167, -1683, 1723
-1141, -1070, 1304
