-1168, -481, 529
-1127, -401, 447
-1123, -298, 330
-1269, -169, 323
-1286, 42, 278
-1286, 42, 278
-1344, 253, 257
-1361, 386, 311
-1283, 494, 256
-1160, 595, 174
-1152, 626, 285
-,-,-
-916, 104, 344
-982, 86, 246
-997, 121, 350
-1039, 114, 436
-1039, 114, 436
-978, 102, 412
-883, 74, 337
-922, 71, 393
-900, 48, 427
-847, -29, 333
-871, -71, 370
-871, -71, 370
-873, -116, 473
-948, -117, 543
-929, -114, 445
-885, -102, 396
-992, -28, 439
-1113, 45, 551
-1114, 78, 563
-1109, 111, 450
-1102, 167, 304
-1191, 232, 256
-1329, 347, 254
-1329, 347, 254
-1248, 484, 95
-1307, 598, 41
-1445, 671, 153
-1309, 644, 249
-1207, 612, 313
-1128, 623, 330
-1138, 645, 286
-1067, 662, 320
-998, 641, 241
-940, 663, 192
-856, 645, 199
-856, 645, 199
-832, 614, 116
-763, 622, -4
-670, 579, -20
-602, 485, 99
-525, 391, 139
-517, 311, 117
-517, 311, 117
-495, 218, 71
-499, 120, 39
-470, 18, 48
-478, -72, 108
-545, -159, 167
-521, -237, 174
-561, -263, 161
-561, -263, 161
-606, -269, 221
-596, -319, 305
-627, -375, 376
-665, -376, 312
-743, -353, 312
-769, -363, 399
-870, -330, 511
-945, -317, 491
-910, -338, 478
-1090, -373, 567
-1151, -400, 643
-1152, -382, 589
-1338, -294, 566
-1359, -235, 600
-1341, -109, 495
-1351, 85, 404
-1318, 233, 423
-1211, 370, 354
-1211, 370, 354
-,-,-
-962, 181, 369
-1002, 129, 267
-981, 170, 334
-835, 146, 398
-967, 141, 360
-967, 141, 360
-1007, 137, 345
-843, 100, 396
-945, 85, 404
-1005, 87, 402
-1012, 55, 427
-1017, 55, 484
-979, 107, 484
-979, 107, 434
-1109, 192, 434
-1153, 241, 465
-1100, 252, 510
-1094, 223, 549
-1164, 208, 591
-1133, 229, 644
-1001, 292, 590
-1180, 386, 482
-1319, 434, 541
-1145, 381, 607
-1099, 377, 472
-1061, 429, 188
-1032, 483, -13
-1037, 542, -104
-972, 638, -159
-972, 638, -159
-910, 726, -257
-889, 721, -172
-831, 741, -21
-744, 776, 113
-559, 721, 136
-601, 648, 119
-554, 592, 95
-559, 521, 35
-559, 521, 35
-529, 387, 65
-479, 221, 131
-493, 78, 147
-511, -15, 154
-506, -123, 228
-566, -206, 330
-571, -265, 367
-571, -265, 367
-612, -295, 304
-617, -318, 258
-644, -360, 296
-658, -392, 396
-664, -351, 364
-812, -237, 228
-972, -187, 259
-1067, -194, 396
-1076, -235, 598
-1048, -371, 637
-1080, -492, 517
-1219, -457, 518
-1289, -412, 535
-1351, -411, 565
-1240, -383, 577
-1185, -203, 451
-1297, 37, 380
-1281, 184, 481
-1102, 274, 404
-1104, 474, 112
-,-,-
-960, 114, 406
-944, 125, 357
-944, 125, 357
-933, 115, 337
-912, 87, 343
-1027, 91, 390
-988, 93, 491
-842, 45, 562
-886, -24, 559
-886, -24, 559
-974, -74, 575
-939, -112, 567
-972, -86, 577
-1044, -26, 513
-978, -8, 486
-1104, 56, 476
-1164, 143, 464
-1058, 213, 414
-1058, 213, 414
-1039, 247, 280
-1249, 336, 187
-1299, 473, 195
-1233, 552, 271
-1278, 579, 353
-1281, 581, 415
-1183, 588, 455
-1129, 614, 412
-1211, 632, 372
-1047, 641, 271
-975, 646, 238
-956, 678, 203
-860, 688, 88
-860, 688, 88
-708, 639, 87
-666, 607, 121
-580, 560, 104
-458, 467, 88
-396, 352, 85
-396, 352, 85
-342, 214, 113
-271, 56, 101
-319, -85, 45
